target,unit,selected_model_family,trials_evaluated,mae_before_hpo,mae_after_hpo,mae_improvement_pct,rmse_before_hpo,rmse_after_hpo,rmse_improvement_pct,mape_before_pct,mape_after_pct,r2_before_hpo,r2_after_hpo,r2_gain,best_hyperparameters
runtime_seconds,s,xgboost,12,0.4611,0.3577,22.42,1.3687,1.3375,2.28,10.84,8.69,0.8741,0.8797,0.0056,"{""n_estimators"": 120, ""max_depth"": 4, ""learning_rate"": 0.05, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5}"
actual_cpu,cores,xgboost,12,0.0202,0.018,10.89,0.0339,0.0296,12.68,3.51,2.94,0.991,0.9932,0.0022,"{""n_estimators"": 100, ""max_depth"": 3, ""learning_rate"": 0.06, ""subsample"": 0.9, ""colsample_bytree"": 0.95, ""reg_alpha"": 0.02, ""reg_lambda"": 0.8}"
actual_memory_mb,MB,xgboost,12,4.5735,4.3496,4.9,6.9908,6.9592,0.45,6.2,5.56,0.987,0.9872,0.0002,"{""n_estimators"": 150, ""max_depth"": 3, ""learning_rate"": 0.06, ""subsample"": 0.95, ""colsample_bytree"": 0.95, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5}"
